region,G4_n,G4_frac,Zhunt_n,Zhunt_frac,ZDNABERT_n,ZDNABERT_frac
Exons,43,0.0015,1577,0.0026,86,0.0024
Introns,4412,0.1561,63259,0.1063,2838,0.0778
Promoters,71,0.0025,1526,0.0026,40,0.0011
Downstream,11,0.0004,269,0.0005,3,0.0001
Intergenic,23746,0.8404,529106,0.8889,33556,0.92
